name,owner,url,stars,last_commit,days_abandoned,open_issues,score,active_fork_name,active_fork_url,active_fork_stars,active_fork_last_commit
TTS,coqui-ai,https://github.com/coqui-ai/TTS,43118,2024-02-10,621,11,6.11,,,,
data-science-ipython-notebooks,donnemartin,https://github.com/donnemartin/data-science-ipython-notebooks,28607,2019-02-11,2446,40,4.68,,,,
funNLP,fighting41love,https://github.com/fighting41love/funNLP,76772,2023-08-24,792,41,3.97,,,,
roop,s0md3v,https://github.com/s0md3v/roop,30303,2024-03-25,578,14,3.2,,,,
ML-From-Scratch,eriklindernoren,https://github.com/eriklindernoren/ML-From-Scratch,28843,2019-10-18,2197,63,2.71,,,,
interactive-coding-challenges,donnemartin,https://github.com/donnemartin/interactive-coding-challenges,30868,2020-08-05,1906,76,2.09,,,,
big-list-of-naughty-strings,minimaxir,https://github.com/minimaxir/big-list-of-naughty-strings,47462,2021-04-17,1650,108,1.97,,,,
pytorch-tutorial,yunjey,https://github.com/yunjey/pytorch-tutorial,31852,2020-07-06,1936,89,1.88,,,,
Deep-Learning-Papers-Reading-Roadmap,floodsung,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,39346,2022-02-07,1355,91,1.59,,,,
d2l-zh,d2l-ai,https://github.com/d2l-ai/d2l-zh,73383,2023-08-18,798,115,1.38,,,,
gym,openai,https://github.com/openai/gym,36713,2023-01-30,997,127,0.78,,,,
shadowsocks,shadowsocks,https://github.com/shadowsocks/shadowsocks,33644,2015-08-22,3716,450,0.76,,,,
grok-1,xai-org,https://github.com/xai-org/grok-1,50540,2024-03-19,583,121,0.66,,,,
ItChat,littlecodersh,https://github.com/littlecodersh/ItChat,26554,2018-09-26,2585,302,0.62,,,,
DragGAN,XingangPan,https://github.com/XingangPan/DragGAN,35986,2023-10-11,744,153,0.48,,,,
thefuck,nvbn,https://github.com/nvbn/thefuck,94449,2024-01-25,638,394,0.42,,,,
stanford_alpaca,tatsu-lab,https://github.com/tatsu-lab/stanford_alpaca,30187,2023-05-30,878,188,0.38,,,,
TaskMatrix,chenfei-wu,https://github.com/chenfei-wu/TaskMatrix,34360,2023-06-29,848,256,0.31,,,,
jieba,fxsjy,https://github.com/fxsjy/jieba,34479,2020-02-15,2078,693,0.28,,,,
d2l-en,d2l-ai,https://github.com/d2l-ai/d2l-en,27171,2024-03-16,586,179,0.24,,,,
face_recognition,ageitgey,https://github.com/ageitgey/face_recognition,55622,2022-06-10,1232,820,0.23,,,,
Open-Assistant,LAION-AI,https://github.com/LAION-AI/Open-Assistant,37483,2024-01-06,656,291,0.23,,,,
GFPGAN,TencentARC,https://github.com/TencentARC/GFPGAN,37168,2024-04-02,569,397,0.15,,,,
ControlNet,lllyasviel,https://github.com/lllyasviel/ControlNet,33201,2023-09-09,775,456,0.15,,,,
ChatGLM-6B,zai-org,https://github.com/zai-org/ChatGLM-6B,41146,2024-06-27,484,600,0.09,,,,
Real-ESRGAN,xinntao,https://github.com/xinntao/Real-ESRGAN,32935,2024-04-02,569,624,0.08,,,,
MiniGPT-4,Vision-CAIR,https://github.com/Vision-CAIR/MiniGPT-4,25743,2024-09-02,417,375,0.08,,,,
Mask_RCNN,matterport,https://github.com/matterport/Mask_RCNN,25379,2019-03-09,2420,2023,0.08,,,,
EasyOCR,JaidedAI,https://github.com/JaidedAI/EasyOCR,28232,2024-09-24,394,520,0.06,,,,
mmdetection,open-mmlab,https://github.com/open-mmlab/mmdetection,31870,2024-02-05,626,1940,0.03,,,,
