name,owner,url,stars,last_commit,days_abandoned,open_issues,score,active_fork_name,active_fork_url,active_fork_last_commit
TTS,coqui-ai,https://github.com/coqui-ai/TTS,43118,2024-02-10,621,11,6.11,Scofflawvii/TTS,https://github.com/Scofflawvii/TTS,2025-10-22
funNLP,fighting41love,https://github.com/fighting41love/funNLP,76771,2023-08-24,792,41,3.97,gonz16472-design/funNLP,https://github.com/gonz16472-design/funNLP,2025-10-17
big-list-of-naughty-strings,minimaxir,https://github.com/minimaxir/big-list-of-naughty-strings,47461,2021-04-17,1650,108,1.97,maxmokhnatskyi-cell/big-list-of-naughty-strings,https://github.com/maxmokhnatskyi-cell/big-list-of-naughty-strings,2025-10-16
Deep-Learning-Papers-Reading-Roadmap,floodsung,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,39346,2022-02-07,1355,91,1.59,,,
d2l-zh,d2l-ai,https://github.com/d2l-ai/d2l-zh,73383,2023-08-18,798,115,1.38,yama-lei/d2l-zh,https://github.com/yama-lei/d2l-zh,2025-10-24
grok-1,xai-org,https://github.com/xai-org/grok-1,50540,2024-03-19,583,121,0.66,,,
thefuck,nvbn,https://github.com/nvbn/thefuck,94448,2024-01-25,638,394,0.42,,,
face_recognition,ageitgey,https://github.com/ageitgey/face_recognition,55622,2022-06-10,1232,820,0.23,aji3880/face_recognition,https://github.com/aji3880/face_recognition,2025-10-23
Open-Assistant,LAION-AI,https://github.com/LAION-AI/Open-Assistant,37483,2024-01-06,656,291,0.23,dexiglobmedia-blip/Open-Assistant,https://github.com/dexiglobmedia-blip/Open-Assistant,2025-10-17
ChatGLM-6B,zai-org,https://github.com/zai-org/ChatGLM-6B,41146,2024-06-27,484,600,0.09,kiennkt05/ChatGLM-6B,https://github.com/kiennkt05/ChatGLM-6B,2025-10-05
